"ASC_car","ASC_pt","ASC_bike","ASC_walk","b_cost","b_tt_car","b_tt_pt","b_tt_bike","b_tt_walk","b_tt_access","logLike"
0,0,0,0,0,0,0,0,0,0,-130663.62698079
0.397792757755786,-0.781864731971581,-0.769113268044184,0.420005927520109,-0.0646320582923028,-0.00819141809491989,0.0188849097303716,-0.0138796298904879,-0.0230334291810502,-0.00456919098088008,-91171.726426387
0.644363974700056,-1.21348051041563,-1.08766037353126,0.426102490704974,-0.135744366582038,-0.0415309988729718,0.00491212474986506,-0.0531953171864176,-0.047415073614715,-0.0416451218882993,-79568.4753469837
0.603048346620298,-1.18134691163784,-1.16896640916196,0.52756394939838,-0.150504558725351,-0.0593221274942845,-0.0139638220451417,-0.0630848413832516,-0.0597067963255608,-0.040671905918281,-78706.3085616656
0.562661488386641,-1.25899704810093,-1.17305610364884,0.62206373011113,-0.155663554146063,-0.0606654985937548,-0.0103813006109898,-0.0671961378131123,-0.0662918806938739,-0.0419963459124264,-78379.0327168228
0.54319090932064,-1.27002451679161,-1.18290646314369,0.673478430091461,-0.15689384499024,-0.0664365435294023,-0.015550079045984,-0.0710599569348553,-0.0712393499580248,-0.0425792066110419,-78224.6718736748
0.530818455870678,-1.29552278579183,-1.18241394675101,0.715740445288157,-0.158420847014201,-0.0681009245126192,-0.0155362485464412,-0.0732224976247232,-0.0745719163274392,-0.0432216159558122,-78143.955691714
0.522994034752245,-1.30443607602787,-1.18393004392706,0.745244768753569,-0.159071774490556,-0.0702808882733012,-0.0171306474849488,-0.0749967175364065,-0.0771353174621757,-0.0435461966576261,-78099.1493878455
0.517387806685292,-1.31493541617425,-1.18401090856127,0.768448336461914,-0.159740489900151,-0.0714401775628989,-0.017580134098826,-0.0761930868068904,-0.0790339544921166,-0.0438533594981344,-78073.2867658871
0.477295734519852,-1.35904963970897,-1.19567846268574,0.853359138654558,-0.160035185614548,-0.0719090196397157,-0.0178077615064712,-0.0793878760622385,-0.087146558315923,-0.0442587196286009,-78039.4009165475
0.321232167387656,-1.52341880959178,-1.36626627219373,0.692960026844947,-0.162014796510946,-0.0764120936210326,-0.0205167787187601,-0.0804218064060021,-0.0873049485023076,-0.0449330865997762,-78035.0946270513
0.344887152745299,-1.50152401972462,-1.34142321194103,0.712547297548974,-0.161911014750556,-0.0761874138904942,-0.0200883066131039,-0.0803950942852534,-0.0870175944476505,-0.0448397114510642,-78034.4942386957
0.400481396810335,-1.44529023537903,-1.28604603353413,0.764564849060628,-0.16177491596837,-0.0762687097273787,-0.0202506915036492,-0.0804190058524121,-0.086818830059368,-0.0448191211234762,-78034.1453629633
0.623030221348691,-1.22234520136449,-1.06274712164329,0.976184530753792,-0.161648372672965,-0.0759934926141405,-0.020065039300144,-0.080337635381744,-0.0860690940741831,-0.0448101198081108,-78033.5480837617
0.698290642140934,-1.1461108060126,-0.987530288059206,1.05044223897445,-0.161652998789398,-0.0758873295342287,-0.0200329001473053,-0.0802622780054864,-0.0859899835627837,-0.0447627541573072,-78033.5346437288
0.757367956852125,-1.08699121974191,-0.928851344537374,1.10882604750737,-0.16165014157116,-0.0758355007723226,-0.0199959105551753,-0.0801961374894462,-0.0859416958668143,-0.044749868532854,-78033.5308786371
0.797767357432432,-1.04662720813545,-0.888663868163909,1.14917755740073,-0.161635644623382,-0.0758272100763243,-0.019989157613168,-0.0801700837116517,-0.0859369499110916,-0.044748232847204,-78033.5303184421
0.870693255738152,-0.973761754899069,-0.81587264124828,1.22215903624218,-0.161625501299475,-0.0758262935615335,-0.0199867655045442,-0.0801563205812866,-0.0859405072291686,-0.0447483205365338,-78033.5301588158
0.897630984005203,-0.946840639983117,-0.788950262603362,1.2491413929321,-0.161624282091796,-0.0758278993112659,-0.0199872895816746,-0.0801557107756401,-0.0859435943500316,-0.0447487433723565,-78033.5301446847
0.924409394195929,-0.920065396110637,-0.762168359210917,1.2759346195775,-0.161624609986775,-0.0758286435633806,-0.0199876743016032,-0.0801565038236912,-0.0859446734472061,-0.0447489149126796,-78033.5301435516
