"","Estimate","Std.err.","t-ratio(0)","Rob.std.err.","Rob.t-ratio(0)"
"ASC_car",15.4164585335844,NA,NA,NA,NA
"ASC_pt",14.0385890490294,NA,NA,NA,NA
"ASC_bike",13.52539454953,NA,NA,NA,NA
"ASC_walk",15.7583478872091,NA,NA,NA,NA
"b_cost",-0.147952079469893,NA,NA,NA,NA
"b_tt_car",-0.094220260135085,NA,NA,NA,NA
"b_tt_pt",-0.006231863699683,NA,NA,NA,NA
"b_tt_bike",-0.0881463232754998,NA,NA,NA,NA
"b_tt_walk",-0.0886671535296601,NA,NA,NA,NA
"b_tt_access",-0.0428815446011932,NA,NA,NA,NA
"b_tt_waiting",-0.0423444290186564,NA,NA,NA,NA
"b_tt_egress",-0.0583490375318082,NA,NA,NA,NA
"b_transfers",-0.170431545241169,NA,NA,NA,NA
"b_car_precip",0.00823466977360991,NA,NA,NA,NA
"b_car_sun",-0.00488597872877541,NA,NA,NA,NA
"b_pt_precip",0.0025937483209402,NA,NA,NA,NA
"b_pt_sun",-0.00993137635219103,NA,NA,NA,NA
"b_bike_precip",-0.00153346861365004,NA,NA,NA,NA
"b_bike_sun",0.0148005646741017,NA,NA,NA,NA
"b_walk_precip",0.00392841238751676,NA,NA,NA,NA
"b_walk_sun",-0.00285278994365171,NA,NA,NA,NA
